code,start,end,n_hours,max_slope,min_slope,avg_level
157B025010006,2025-06-15 00:00:00,2025-06-16 22:00:00,45,1.3890000000000002,-0.9670000000000001,4.179577777777779
157B025010006,2025-06-16 23:00:00,2025-06-17 08:00:00,10,3.9350000000000005,-1.9020000000000001,5.677499999999999
157B025010006,2025-06-17 09:00:00,2025-06-17 18:00:00,10,0.8370000000000002,-0.31199999999999983,4.0716
157B025010006,2025-06-17 19:00:00,2025-06-17 23:00:00,5,0.09999999999999987,-1.1999999999999997,2.2800000000000002
157B025010006,2025-06-18 00:00:00,2025-06-18 11:00:00,5,0.8689999999999998,-0.4689999999999994,5.7526
157B025010006,2025-06-18 12:00:00,2025-06-19 02:00:00,15,0.8540000000000005,-0.44300000000000006,4.084733333333334
157B025010006,2025-06-19 03:00:00,2025-06-19 08:00:00,5,1.194,-0.34499999999999975,6.8474
157B025010006,2025-06-19 09:00:00,2025-06-19 14:00:00,5,-0.2529999999999992,-0.7250000000000005,5.1768
157B025010006,2025-06-19 15:00:00,2025-06-21 11:00:00,45,1.8299999999999998,-0.738,2.773
157B025010006,2025-06-21 12:00:00,2025-06-24 07:00:00,65,0.484,-0.24700000000000077,4.3672
157B025010006,2025-06-24 08:00:00,2025-06-24 23:00:00,15,0.09799999999999986,-0.2200000000000002,3.432133333333333
157B025010006,2025-06-25 00:00:00,2025-06-25 04:00:00,5,1.7539999999999996,-1.2320000000000002,5.288
157B025010006,2025-06-25 05:00:00,2025-06-26 00:00:00,20,0.3330000000000002,-0.35900000000000043,3.6363999999999996
157B025010006,2025-06-26 01:00:00,2025-06-26 11:00:00,10,5.779,-1.234,7.575100000000001
157B025010006,2025-06-26 12:00:00,2025-06-26 21:00:00,10,0.052999999999999936,-0.32699999999999996,5.9016
157B025010006,2025-06-26 22:00:00,2025-06-27 12:00:00,15,3.027000000000001,-0.6780000000000008,7.0536
157B025010006,2025-06-27 13:00:00,2025-06-28 08:00:00,20,0.7069999999999999,-0.43299999999999983,5.2448500000000005
157B025010006,2025-06-28 09:00:00,2025-06-29 00:00:00,15,2.6470000000000002,-0.6459999999999999,3.729266666666667
157B025010006,2025-06-29 01:00:00,2025-06-29 10:00:00,10,0.6710000000000003,-0.9050000000000002,6.525799999999999
157B025010006,2025-06-29 11:00:00,2025-06-30 06:00:00,20,0.2549999999999999,-0.4750000000000001,3.43055
157B025010006,2025-06-30 07:00:00,2025-07-01 12:00:00,30,0.7670000000000003,-3.0470000000000006,5.819599999999999
157B025010006,2025-07-01 13:00:00,2025-07-02 08:00:00,20,0.1980000000000004,-0.3639999999999999,4.340249999999999
157B025010006,2025-07-02 09:00:00,2025-07-02 18:00:00,10,6.894,-2.8199999999999994,6.760600000000001
157B025010006,2025-07-02 19:00:00,2025-07-04 01:00:00,20,1.787,-0.6070000000000002,4.48475
157B025010006,2025-07-04 02:00:00,2025-07-04 06:00:00,5,0.24099999999999966,-0.06400000000000006,6.0072
157B025010006,2025-07-04 07:00:00,2025-07-04 21:00:00,15,0.43800000000000017,-0.4370000000000003,3.915600000000001
157B025010006,2025-07-04 22:00:00,2025-07-05 02:00:00,5,6.623999999999999,-4.784000000000001,6.865599999999999
157B025010006,2025-07-05 03:00:00,2025-07-05 23:00:00,20,2.5999999999999996,-0.56,3.84325
157B025010006,2025-07-06 00:00:00,2025-07-06 09:00:00,10,0.13900000000000023,-1.843,5.863899999999999
157B025010006,2025-07-06 10:00:00,2025-07-06 19:00:00,10,0.15300000000000002,-0.5999999999999996,3.5378
157B025010006,2025-07-06 20:00:00,2025-07-07 00:00:00,5,3.1079999999999997,-0.2140000000000004,5.034000000000001
157B025010006,2025-07-07 01:00:00,2025-07-07 05:00:00,5,0.0940000000000003,-3.0839999999999996,7.036800000000001
157B025010006,2025-07-07 06:00:00,2025-07-07 21:00:00,15,0.16199999999999992,-1.1719999999999997,3.650066666666667
157B025010006,2025-07-07 22:00:00,2025-07-08 07:00:00,10,2.139,-1.2690000000000001,4.707400000000001
157B025010006,2025-07-08 08:00:00,2025-07-08 22:00:00,15,0.3380000000000001,-0.2450000000000001,3.4783333333333335
157B025010006,2025-07-08 23:00:00,2025-07-09 04:00:00,5,6.135999999999999,-4.457,5.5756
157B025010006,2025-07-09 05:00:00,2025-07-11 22:00:00,50,3.509,-1.0750000000000002,3.8446999999999996
157B025010006,2025-07-11 23:00:00,2025-07-12 03:00:00,5,0.06600000000000072,-5.6850000000000005,6.707000000000001
157B025010006,2025-07-12 04:00:00,2025-07-13 20:00:00,40,0.694,-0.9180000000000001,3.2079250000000004
157B025010006,2025-07-13 21:00:00,2025-07-14 12:00:00,15,1.7730000000000006,-1.6690000000000005,5.3726666666666665
157B025010006,2025-07-14 13:00:00,2025-07-14 22:00:00,10,0.2869999999999999,-0.3450000000000002,3.7713
157B025010006,2025-07-14 23:00:00,2025-07-15 03:00:00,5,0.39199999999999946,-0.19899999999999984,8.5706
157B025010006,2025-07-15 04:00:00,2025-07-15 08:00:00,5,0.034000000000000696,-2.519000000000001,6.9096
157B025010006,2025-07-15 09:00:00,2025-07-17 06:00:00,45,5.566000000000001,-4.363,4.423577777777778
157B025010006,2025-07-17 07:00:00,2025-07-18 22:00:00,40,3.551,-0.2689999999999997,3.63275
157B025010006,2025-07-18 23:00:00,2025-07-19 08:00:00,10,1.3439999999999994,-2.033999999999999,8.120800000000001
157B025010006,2025-07-19 09:00:00,2025-07-20 14:00:00,30,1.0270000000000001,-0.8280000000000003,4.320266666666667
157B025010006,2025-07-20 15:00:00,2025-07-20 23:00:00,8,0.7869999999999999,-1.448,1.263125
157B025010017,2025-06-15 00:00:00,2025-06-17 01:00:00,50,1.267,-0.7469999999999999,2.1566600000000005
157B025010017,2025-06-17 02:00:00,2025-06-17 21:00:00,20,1.4580000000000002,-0.1880000000000006,4.5388
157B025010017,2025-06-17 22:00:00,2025-06-18 09:00:00,5,4.667,-0.11699999999999999,7.024799999999999
157B025010017,2025-06-18 10:00:00,2025-06-19 12:00:00,25,1.5810000000000013,-1.0150000000000006,11.10236
157B025010017,2025-06-19 13:00:00,2025-06-21 05:00:00,40,0.7990000000000013,-1.359,12.5196
157B025010017,2025-06-21 06:00:00,2025-06-21 10:00:00,5,0.3999999999999986,-0.2939999999999987,13.679999999999998
157B025010017,2025-06-21 12:00:00,2025-06-21 16:00:00,5,0.8520000000000021,-0.03100000000000236,15.4114
157B025010017,2025-06-21 17:00:00,2025-06-21 21:00:00,5,0.0,-1.2800000000000011,12.606800000000002
157B025010017,2025-06-21 22:00:00,2025-06-22 02:00:00,5,0.1869999999999994,-0.7460000000000004,9.333599999999999
157B025010017,2025-06-22 03:00:00,2025-06-22 07:00:00,5,1.904,-1.5019999999999998,5.8187999999999995
157B025010017,2025-06-22 08:00:00,2025-06-23 04:00:00,20,0.4720000000000004,-0.242,7.436750000000001
157B025010017,2025-06-23 05:00:00,2025-06-23 09:00:00,5,0.5109999999999992,-0.06900000000000084,9.231599999999998
157B025010017,2025-06-23 10:00:00,2025-06-24 11:00:00,25,0.8200000000000003,-1.4499999999999993,10.507919999999999
157B025010017,2025-06-24 12:00:00,2025-06-26 04:00:00,40,1.0119999999999987,-0.7469999999999999,9.709575
157B025010017,2025-06-26 05:00:00,2025-06-26 19:00:00,15,1.4380000000000006,-1.2070000000000007,11.008999999999999
157B025010017,2025-06-26 20:00:00,2025-06-27 10:00:00,15,0.7330000000000005,-1.4209999999999994,12.4432
157B025010017,2025-06-27 11:00:00,2025-06-29 09:00:00,45,1.2319999999999993,-1.3239999999999998,11.632022222222222
157B025010017,2025-06-29 10:00:00,2025-07-01 02:00:00,40,0.43100000000000094,-0.37599999999999945,12.3342
157B025010017,2025-07-01 03:00:00,2025-07-05 09:00:00,95,0.40700000000000003,-0.9599999999999991,14.614021052631573
157B025010017,2025-07-05 10:00:00,2025-07-05 14:00:00,5,0.8369999999999997,-4.424999999999999,11.6704
157B025010017,2025-07-05 15:00:00,2025-07-09 01:00:00,80,0.9059999999999988,-0.8379999999999992,10.142475
157B025010017,2025-07-09 02:00:00,2025-07-10 04:00:00,25,0.8620000000000001,-0.9530000000000012,9.59432
157B025010017,2025-07-10 05:00:00,2025-07-11 11:00:00,30,1.154,-1.013,8.696033333333334
157B025010017,2025-07-11 12:00:00,2025-07-11 22:00:00,10,0.8669999999999991,-0.8669999999999991,10.7123
157B025010017,2025-07-11 23:00:00,2025-07-12 03:00:00,5,0.0,-4.288,4.8296
157B025010017,2025-07-12 04:00:00,2025-07-13 15:00:00,35,0.469,-0.6699999999999999,0.4527714285714286
157B025010017,2025-07-13 16:00:00,2025-07-13 20:00:00,5,1.0999999999999999,-0.11999999999999966,1.8791999999999998
157B025010017,2025-07-13 21:00:00,2025-07-14 01:00:00,5,1.7010000000000005,-0.03300000000000036,4.6684
157B025010017,2025-07-14 02:00:00,2025-07-14 11:00:00,10,1.0749999999999993,-1.8230000000000004,8.0987
157B025010017,2025-07-14 12:00:00,2025-07-16 18:00:00,55,2.380000000000001,-1.7680000000000007,10.69449090909091
