msgTime,liquidLevelValue,liquidLevel_clean,is_outlier
2025-06-15 00:00:00,0.8,0.8,0.0
2025-06-15 01:00:00,0.86,0.86,0.0
2025-06-15 02:00:00,0.827,0.827,0.0
2025-06-15 03:00:00,0.88,0.88,0.0
2025-06-15 04:00:00,0.825,0.825,0.0
2025-06-15 05:00:00,0.8,0.8,0.0
2025-06-15 06:00:00,0.875,0.875,0.0
2025-06-15 07:00:00,0.787,0.787,0.0
2025-06-15 08:00:00,0.785,0.785,0.0
2025-06-15 09:00:00,0.8,0.8,0.0
2025-06-15 10:00:00,0.707,0.707,0.0
2025-06-15 11:00:00,0.744,0.744,0.0
2025-06-15 12:00:00,0.8,0.8,0.0
2025-06-15 13:00:00,0.787,0.787,0.0
2025-06-15 14:00:00,0.733,0.733,0.0
2025-06-15 15:00:00,0.78,0.78,0.0
2025-06-15 16:00:00,0.694,0.694,0.0
2025-06-15 18:00:00,0.793,0.793,0.0
2025-06-15 19:00:00,0.887,0.887,0.0
2025-06-15 20:00:00,0.838,0.838,0.0
2025-06-15 21:00:00,0.9,0.9,0.0
2025-06-15 22:00:00,0.931,0.931,0.0
2025-06-15 23:00:00,0.869,0.869,0.0
2025-06-16 00:00:00,5.673,5.673,0.0
2025-06-16 01:00:00,5.7,5.7,0.0
2025-06-16 02:00:00,7.245,7.245,0.0
2025-06-16 03:00:00,9.445,9.445,0.0
2025-06-16 04:00:00,9.3,9.3,0.0
2025-06-16 05:00:00,9.82,9.82,0.0
2025-06-16 06:00:00,9.838,9.838,0.0
2025-06-16 07:00:00,8.967,8.967,0.0
2025-06-16 08:00:00,7.762,7.762,0.0
2025-06-16 09:00:00,7.32,7.32,0.0
2025-06-16 10:00:00,6.953,6.953,0.0
2025-06-16 11:00:00,6.925,6.925,0.0
2025-06-16 12:00:00,6.8,6.8,0.0
2025-06-16 13:00:00,6.508,6.508,0.0
2025-06-16 14:00:00,6.3,6.3,0.0
2025-06-16 15:00:00,5.281,5.281,0.0
2025-06-16 16:00:00,4.087,4.087,0.0
2025-06-16 17:00:00,3.412,3.412,0.0
2025-06-16 18:00:00,2.027,2.027,0.0
2025-06-16 19:00:00,1.762,1.762,0.0
2025-06-16 20:00:00,1.48,1.48,0.0
2025-06-16 21:00:00,1.167,1.167,0.0
2025-06-16 22:00:00,1.255,1.255,0.0
2025-06-16 23:00:00,1.2,1.2,0.0
2025-06-17 00:00:00,1.325,1.325,0.0
2025-06-17 01:00:00,1.393,1.393,0.0
2025-06-17 02:00:00,1.106,1.106,0.0
2025-06-17 03:00:00,1.1,1.1,0.0
2025-06-17 04:00:00,1.06,1.06,0.0
2025-06-17 05:00:00,1.053,1.053,0.0
2025-06-17 06:00:00,0.594,0.594,0.0
2025-06-17 07:00:00,1.025,1.025,0.0
2025-06-17 08:00:00,1.044,1.044,0.0
2025-06-17 09:00:00,1.041,1.041,0.0
2025-06-17 10:00:00,1.0,1.0,0.0
2025-06-17 11:00:00,1.067,1.067,0.0
2025-06-17 12:00:00,1.0,1.0,0.0
2025-06-17 13:00:00,1.006,1.006,0.0
2025-06-17 14:00:00,1.157,1.157,0.0
2025-06-17 15:00:00,1.1,1.1,0.0
2025-06-17 16:00:00,1.053,1.053,0.0
2025-06-17 17:00:00,1.05,1.05,0.0
2025-06-17 18:00:00,1.031,1.031,0.0
2025-06-17 19:00:00,1.047,1.047,0.0
2025-06-17 20:00:00,1.06,1.06,0.0
2025-06-17 21:00:00,0.988,0.988,0.0
2025-06-17 22:00:00,1.047,1.047,0.0
2025-06-17 23:00:00,0.988,0.988,0.0
2025-06-18 00:00:00,1.1,1.1,0.0
2025-06-18 01:00:00,1.081,1.081,0.0
2025-06-18 09:00:00,7.094,7.094,0.0
2025-06-18 10:00:00,6.793,6.793,0.0
2025-06-18 11:00:00,6.806,6.806,0.0
2025-06-18 12:00:00,6.4,6.4,0.0
2025-06-18 13:00:00,6.519,6.519,0.0
2025-06-18 15:00:00,5.947,5.947,0.0
2025-06-18 16:00:00,5.78,5.78,0.0
2025-06-18 17:00:00,5.34,5.34,0.0
2025-06-18 18:00:00,5.167,5.167,0.0
2025-06-18 19:00:00,4.519,4.519,0.0
2025-06-18 20:00:00,3.993,3.993,0.0
2025-06-18 21:00:00,2.925,2.925,0.0
2025-06-18 22:00:00,1.619,1.619,0.0
2025-06-19 00:00:00,0.753,0.753,0.0
2025-06-19 01:00:00,0.525,0.525,0.0
2025-06-19 02:00:00,5.667,5.667,0.0
