device,manual_periods,algo_count,tp,fp,fn,precision,recall,f1_score,miss_rate,false_positive_rate,match_strategy,strategy
157B025010006,3,2,2,0,1,1.0,0.6666666666666666,0.8,0.3333333333333333,0.0,strict,严格包含
157B025010017,6,3,2,1,4,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.3333333333333333,strict,严格包含
157B025010025,3,2,2,0,1,1.0,0.6666666666666666,0.8,0.3333333333333333,0.0,strict,严格包含
157B025010028,8,6,5,1,3,0.8333333333333334,0.625,0.7142857142857143,0.375,0.16666666666666666,strict,严格包含
157B025010050,11,7,7,0,4,1.0,0.6363636363636364,0.7777777777777778,0.36363636363636365,0.0,strict,严格包含
157B025010054,3,3,3,0,0,1.0,1.0,1.0,0.0,0.0,strict,严格包含
157B025030003,5,6,5,1,0,0.8333333333333334,1.0,0.9090909090909091,0.0,0.16666666666666666,strict,严格包含
157B025030005,3,3,3,0,0,1.0,1.0,1.0,0.0,0.0,strict,严格包含
157B025030008,7,4,3,1,4,0.75,0.42857142857142855,0.5454545454545454,0.5714285714285714,0.25,strict,严格包含
157B025030009,4,6,4,2,0,0.6666666666666666,1.0,0.8,0.0,0.3333333333333333,strict,严格包含
157B025030014,7,5,5,0,2,1.0,0.7142857142857143,0.8333333333333333,0.2857142857142857,0.0,strict,严格包含
157B025030023,9,7,7,0,2,1.0,0.7777777777777778,0.8750000000000001,0.2222222222222222,0.0,strict,严格包含
157B025030025,1,1,1,0,0,1.0,1.0,1.0,0.0,0.0,strict,严格包含
157B025030026,3,5,2,3,1,0.4,0.6666666666666666,0.5,0.3333333333333333,0.6,strict,严格包含
157B025030027,2,2,2,0,0,1.0,1.0,1.0,0.0,0.0,strict,严格包含
157B025030029,4,4,3,1,1,0.75,0.75,0.75,0.25,0.25,strict,严格包含
157B025030031,2,2,2,0,0,1.0,1.0,1.0,0.0,0.0,strict,严格包含
157B025030032,12,10,8,2,4,0.8,0.6666666666666666,0.7272727272727272,0.3333333333333333,0.2,strict,严格包含
157B025030033,4,4,4,0,0,1.0,1.0,1.0,0.0,0.0,strict,严格包含
157B025030034,3,2,2,0,1,1.0,0.6666666666666666,0.8,0.3333333333333333,0.0,strict,严格包含
157B025030037,1,1,1,0,0,1.0,1.0,1.0,0.0,0.0,strict,严格包含
157B025030039,10,10,9,1,1,0.9,0.9,0.9,0.1,0.1,strict,严格包含
157B025030042,8,8,8,0,0,1.0,1.0,1.0,0.0,0.0,strict,严格包含
157B025030044,9,8,8,0,1,1.0,0.8888888888888888,0.9411764705882353,0.1111111111111111,0.0,strict,严格包含
157B025030046,3,2,2,0,1,1.0,0.6666666666666666,0.8,0.3333333333333333,0.0,strict,严格包含
157B025030047,5,5,4,1,1,0.8,0.8,0.8000000000000002,0.2,0.2,strict,严格包含
157B025030068,6,4,4,0,2,1.0,0.6666666666666666,0.8,0.3333333333333333,0.0,strict,严格包含
157B025030076,3,2,2,0,1,1.0,0.6666666666666666,0.8,0.3333333333333333,0.0,strict,严格包含
157B025030077,4,4,4,0,0,1.0,1.0,1.0,0.0,0.0,strict,严格包含
157B025030079,1,0,0,0,1,0.0,0.0,0.0,1.0,0.0,strict,严格包含
157B025030085,2,2,1,1,1,0.5,0.5,0.5,0.5,0.5,strict,严格包含
157B025030087,22,15,13,2,9,0.8666666666666667,0.5909090909090909,0.7027027027027029,0.4090909090909091,0.13333333333333333,strict,严格包含
157B025030091,3,3,3,0,0,1.0,1.0,1.0,0.0,0.0,strict,严格包含
157B025030093,1,2,1,1,0,0.5,1.0,0.6666666666666666,0.0,0.5,strict,严格包含
157B025010006,3,2,2,0,1,1.0,0.6666666666666666,0.8,0.3333333333333333,0.0,overlap,时间重叠
157B025010017,6,3,3,0,3,1.0,0.5,0.6666666666666666,0.5,0.0,overlap,时间重叠
157B025010025,3,2,2,0,1,1.0,0.6666666666666666,0.8,0.3333333333333333,0.0,overlap,时间重叠
157B025010028,8,6,5,1,3,0.8333333333333334,0.625,0.7142857142857143,0.375,0.16666666666666666,overlap,时间重叠
157B025010050,11,7,7,0,4,1.0,0.6363636363636364,0.7777777777777778,0.36363636363636365,0.0,overlap,时间重叠
157B025010054,3,3,3,0,0,1.0,1.0,1.0,0.0,0.0,overlap,时间重叠
157B025030003,5,6,5,1,0,0.8333333333333334,1.0,0.9090909090909091,0.0,0.16666666666666666,overlap,时间重叠
157B025030005,3,3,3,0,0,1.0,1.0,1.0,0.0,0.0,overlap,时间重叠
157B025030008,7,4,3,1,4,0.75,0.42857142857142855,0.5454545454545454,0.5714285714285714,0.25,overlap,时间重叠
157B025030009,4,6,4,2,0,0.6666666666666666,1.0,0.8,0.0,0.3333333333333333,overlap,时间重叠
