device,manual_count,algo_count,matched_count,accuracy
157B025030009,12,5,11,0.9166666666666666
157B025010054,7,3,6,0.8571428571428571
157B025030005,12,9,9,0.75
157B025030044,29,10,21,0.7241379310344828
157B025030027,23,8,16,0.6956521739130435
157B025030025,11,2,7,0.6363636363636364
157B025030008,80,23,48,0.6
157B025030091,9,1,5,0.5555555555555556
157B025010050,76,25,41,0.5394736842105263
157B025030042,13,5,7,0.5384615384615384
157B025010017,88,20,44,0.5
157B025030085,21,9,10,0.47619047619047616
157B025030032,59,23,28,0.4745762711864407
157B025030087,190,34,84,0.4421052631578947
157B025030014,28,4,12,0.42857142857142855
157B025030093,12,1,5,0.4166666666666667
157B025030068,48,9,19,0.3958333333333333
157B025030033,65,7,23,0.35384615384615387
157B025030023,69,12,23,0.3333333333333333
157B025030039,39,6,13,0.3333333333333333
157B025010025,34,3,11,0.3235294117647059
157B025030047,64,9,20,0.3125
157B025030046,37,7,11,0.2972972972972973
157B025030076,31,14,8,0.25806451612903225
157B025030029,67,5,15,0.22388059701492538
157B025030003,47,1,5,0.10638297872340426
157B025030026,36,0,0,0.0
157B025030079,16,5,0,0.0
157B025030077,18,0,0,0.0
157B025010028,58,1,0,0.0
157B025030034,29,0,0,0.0
