device,manual_periods,algo_count,matched_count,accuracy
157B025010006,3,2,2,1.0
157B025010025,3,2,2,1.0
157B025030091,3,3,3,1.0
157B025010050,11,7,7,1.0
157B025010054,3,3,3,1.0
157B025030005,3,3,3,1.0
157B025030027,2,2,2,1.0
157B025030025,1,1,1,1.0
157B025030023,9,7,7,1.0
157B025030014,7,5,5,1.0
157B025030031,2,2,2,1.0
157B025030076,3,2,2,1.0
157B025030044,9,8,8,1.0
157B025030046,3,2,2,1.0
157B025030042,8,8,8,1.0
157B025030037,1,1,1,1.0
157B025030034,3,2,2,1.0
157B025030033,4,4,4,1.0
157B025030077,4,4,4,1.0
157B025030087,22,15,15,1.0
157B025030068,6,4,4,1.0
157B025030039,10,10,9,0.9
157B025030009,4,6,5,0.8333333333333334
157B025010028,8,6,5,0.8333333333333334
157B025030003,5,6,5,0.8333333333333334
157B025030047,5,5,4,0.8
157B025030032,12,10,8,0.8
157B025030029,4,4,3,0.75
157B025030008,7,4,3,0.75
157B025030026,3,4,3,0.75
157B025010017,6,3,2,0.6666666666666666
157B025030085,2,2,1,0.5
157B025030093,1,2,1,0.5
157B025030079,1,0,0,0.0
