threshold,precision,recall,f1
0.0,0.005450372920252439,1.0,0.010841654778887305
0.01,0.018055555555555554,0.6842105263157895,0.035182679296346414
0.02,0.02178217821782178,0.5789473684210527,0.04198473282442748
0.03,0.10185185185185185,0.5789473684210527,0.1732283464566929
0.04,0.14285714285714285,0.5263157894736842,0.2247191011235955
0.05,0.18181818181818182,0.5263157894736842,0.2702702702702703
0.06,0.22727272727272727,0.5263157894736842,0.31746031746031744
0.07,0.2564102564102564,0.5263157894736842,0.3448275862068966
0.08,0.2647058823529412,0.47368421052631576,0.33962264150943394
0.09,0.28125,0.47368421052631576,0.35294117647058826
0.1,0.28125,0.47368421052631576,0.35294117647058826
0.11,0.28125,0.47368421052631576,0.35294117647058826
0.12,0.28125,0.47368421052631576,0.35294117647058826
0.13,0.2903225806451613,0.47368421052631576,0.36
0.14,0.3,0.47368421052631576,0.3673469387755102
0.15,0.32142857142857145,0.47368421052631576,0.3829787234042553
0.16,0.32142857142857145,0.47368421052631576,0.3829787234042553
0.17,0.391304347826087,0.47368421052631576,0.42857142857142855
0.18,0.4090909090909091,0.47368421052631576,0.43902439024390244
0.19,0.4444444444444444,0.42105263157894735,0.43243243243243246
0.2,0.47058823529411764,0.42105263157894735,0.4444444444444444
0.21,0.47058823529411764,0.42105263157894735,0.4444444444444444
0.22,0.47058823529411764,0.42105263157894735,0.4444444444444444
0.23,0.4375,0.3684210526315789,0.4
0.24,0.4,0.3157894736842105,0.35294117647058826
0.25,0.42857142857142855,0.3157894736842105,0.36363636363636365
0.26,0.42857142857142855,0.3157894736842105,0.36363636363636365
0.27,0.38461538461538464,0.2631578947368421,0.3125
0.28,0.45454545454545453,0.2631578947368421,0.3333333333333333
0.29,0.4444444444444444,0.21052631578947367,0.2857142857142857
0.3,0.42857142857142855,0.15789473684210525,0.23076923076923078
0.31,0.42857142857142855,0.15789473684210525,0.23076923076923078
0.32,0.42857142857142855,0.15789473684210525,0.23076923076923078
0.33,0.42857142857142855,0.15789473684210525,0.23076923076923078
0.34,0.6666666666666666,0.10526315789473684,0.18181818181818182
0.35000000000000003,0.6666666666666666,0.10526315789473684,0.18181818181818182
0.36,0.6666666666666666,0.10526315789473684,0.18181818181818182
0.37,0.6666666666666666,0.10526315789473684,0.18181818181818182
0.38,0.6666666666666666,0.10526315789473684,0.18181818181818182
0.39,1.0,0.10526315789473684,0.19047619047619047
0.4,1.0,0.10526315789473684,0.19047619047619047
0.41000000000000003,1.0,0.10526315789473684,0.19047619047619047
0.42,1.0,0.10526315789473684,0.19047619047619047
0.43,1.0,0.10526315789473684,0.19047619047619047
0.44,1.0,0.10526315789473684,0.19047619047619047
0.45,1.0,0.05263157894736842,0.1
0.46,1.0,0.05263157894736842,0.1
0.47000000000000003,1.0,0.05263157894736842,0.1
0.48,1.0,0.05263157894736842,0.1
0.49,0.0,0.0,0.0
0.5,0.0,0.0,0.0
0.51,0.0,0.0,0.0
0.52,0.0,0.0,0.0
0.53,0.0,0.0,0.0
0.54,0.0,0.0,0.0
0.55,0.0,0.0,0.0
0.56,0.0,0.0,0.0
0.5700000000000001,0.0,0.0,0.0
0.58,0.0,0.0,0.0
0.59,0.0,0.0,0.0
0.6,0.0,0.0,0.0
0.61,0.0,0.0,0.0
0.62,0.0,0.0,0.0
0.63,0.0,0.0,0.0
0.64,0.0,0.0,0.0
0.65,0.0,0.0,0.0
0.66,0.0,0.0,0.0
0.67,0.0,0.0,0.0
0.68,0.0,0.0,0.0
0.6900000000000001,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0
0.71,0.0,0.0,0.0
0.72,0.0,0.0,0.0
0.73,0.0,0.0,0.0
0.74,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.76,0.0,0.0,0.0
0.77,0.0,0.0,0.0
0.78,0.0,0.0,0.0
0.79,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.81,0.0,0.0,0.0
0.8200000000000001,0.0,0.0,0.0
0.8300000000000001,0.0,0.0,0.0
0.84,0.0,0.0,0.0
0.85,0.0,0.0,0.0
0.86,0.0,0.0,0.0
0.87,0.0,0.0,0.0
0.88,0.0,0.0,0.0
0.89,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.91,0.0,0.0,0.0
0.92,0.0,0.0,0.0
0.93,0.0,0.0,0.0
0.9400000000000001,0.0,0.0,0.0
0.9500000000000001,0.0,0.0,0.0
0.96,0.0,0.0,0.0
0.97,0.0,0.0,0.0
0.98,0.0,0.0,0.0
0.99,0.0,0.0,0.0
1.0,0.0,0.0,0.0
