code,start,end,label
157B025010006,2025-06-16 01:00:00,2025-06-16 01:00:00,anomaly
157B025010006,2025-06-17 00:00:00,2025-06-17 00:00:00,anomaly
157B025010006,2025-06-18 00:00:00,2025-06-18 00:00:00,anomaly
157B025010006,2025-06-15 23:00:00,2025-06-15 23:00:00,anomaly
157B025010006,2025-06-19 01:00:00,2025-06-19 01:00:00,anomaly
157B025010006,2025-06-19 04:00:00,2025-06-19 04:00:00,anomaly
157B025010006,2025-06-25 00:00:00,2025-06-25 01:00:00,anomaly
157B025010006,2025-06-26 03:00:00,2025-06-26 03:00:00,anomaly
157B025010006,2025-06-27 00:00:00,2025-06-27 00:00:00,anomaly
157B025010006,2025-06-29 00:00:00,2025-06-29 01:00:00,anomaly
157B025010006,2025-06-28 16:00:00,2025-06-28 23:00:00,anomaly
157B025010006,2025-07-03 23:00:00,2025-07-03 23:00:00,anomaly
157B025010006,2025-07-04 23:00:00,2025-07-04 23:00:00,anomaly
157B025010006,2025-07-05 23:00:00,2025-07-05 23:00:00,anomaly
157B025010006,2025-07-06 23:00:00,2025-07-07 00:00:00,anomaly
157B025010006,2025-07-08 00:00:00,2025-07-08 00:00:00,anomaly
157B025010006,2025-07-09 01:00:00,2025-07-09 01:00:00,anomaly
157B025010006,2025-07-11 02:00:00,2025-07-11 02:00:00,anomaly
157B025010006,2025-07-11 23:00:00,2025-07-11 23:00:00,anomaly
157B025010006,2025-07-13 22:00:00,2025-07-13 23:00:00,anomaly
157B025010006,2025-07-14 23:00:00,2025-07-14 23:00:00,anomaly
157B025010006,2025-07-18 22:00:00,2025-07-18 23:00:00,anomaly
157B025010006,2025-07-19 03:00:00,2025-07-19 03:00:00,anomaly
157B025010006,2025-07-11 11:00:00,2025-07-11 11:00:00,anomaly
157B025010006,2025-07-11 15:00:00,2025-07-11 17:00:00,anomaly
157B025010006,2025-07-11 21:00:00,2025-07-11 22:00:00,anomaly
157B025010006,2025-07-12 04:00:00,2025-07-12 08:00:00,anomaly
157B025010006,2025-07-12 23:00:00,2025-07-13 03:00:00,anomaly
157B025010006,2025-07-18 19:00:00,2025-07-18 21:00:00,anomaly
