code,start,end,label,level_start_mm,level_at_12h_mm,delta_12h_mm
157B025010006,2025-08-28 07:00:00,2025-08-28 13:00:00,drain,11.002,5.962,-5.040000000000001
157B025010006,2025-08-29 06:00:00,2025-08-29 10:00:00,drain,8.975,4.921,-4.053999999999999
157B025010017,2025-06-21 16:00:00,2025-06-22 06:00:00,drain,16.194,5.525,-10.668999999999999
157B025010017,2025-07-05 10:00:00,2025-07-05 14:00:00,drain,14.1,9.2,-4.9
157B025010017,2025-07-11 21:00:00,2025-07-12 06:00:00,drain,11.18,0.4,-10.78
157B025010025,2025-06-30 18:00:00,2025-06-30 23:00:00,drain,8.912,6.162,-2.750000000000001
157B025010025,2025-07-28 08:00:00,2025-07-28 13:00:00,drain,15.813,11.48,-4.333
157B025010028,2025-06-17 06:00:00,2025-06-17 14:00:00,drain,12.925,7.756,-5.1690000000000005
157B025010028,2025-07-01 07:00:00,2025-07-01 17:00:00,drain,13.267,7.553,-5.7139999999999995
157B025010028,2025-07-09 09:00:00,2025-07-09 12:00:00,drain,10.835,6.316,-4.519000000000001
157B025010028,2025-07-21 06:00:00,2025-07-21 11:00:00,drain,10.769,7.687,-3.082
157B025010028,2025-08-17 08:00:00,2025-08-17 12:00:00,drain,20.433,16.394,-4.0390000000000015
157B025010028,2025-08-25 03:00:00,2025-08-25 06:00:00,drain,14.9,10.24,-4.66
157B025010050,2025-07-07 09:00:00,2025-07-07 20:00:00,drain,17.4,9.1,-8.299999999999999
157B025010050,2025-07-08 08:00:00,2025-07-08 15:00:00,drain,11.775,4.738,-7.037
157B025010050,2025-08-01 21:00:00,2025-08-02 03:00:00,drain,5.6,1.038,-4.561999999999999
157B025010050,2025-08-03 14:00:00,2025-08-03 18:00:00,drain,20.175,16.967,-3.208000000000002
157B025010050,2025-09-02 07:00:00,2025-09-02 12:00:00,drain,14.0,1.42,-12.58
157B025010050,2025-09-11 13:00:00,2025-09-11 17:00:00,drain,13.317,8.113,-5.204000000000001
157B025010050,2025-09-15 23:00:00,2025-09-16 06:00:00,drain,4.0875,0.5,-3.5875000000000004
157B025010054,2025-06-28 09:00:00,2025-06-28 12:00:00,drain,4.16,0.7,-3.46
157B025010054,2025-07-14 08:00:00,2025-07-14 13:00:00,drain,5.52,1.962,-3.558
157B025010054,2025-08-07 07:00:00,2025-08-07 12:00:00,drain,7.553,4.237,-3.316
157B025030003,2025-07-23 08:00:00,2025-07-23 13:00:00,drain,4.2,0.8,-3.4000000000000004
157B025030003,2025-07-28 09:00:00,2025-07-28 11:00:00,drain,3.0,0.5,-2.5
157B025030003,2025-08-15 20:00:00,2025-08-15 22:00:00,drain,2.5,0.0,-2.5
157B025030003,2025-08-23 08:00:00,2025-08-23 12:00:00,drain,4.753,1.0,-3.753
157B025030003,2025-08-24 09:00:00,2025-08-24 11:00:00,drain,4.093,0.927,-3.166
157B025030003,2025-08-27 09:00:00,2025-08-27 12:00:00,drain,4.933,0.927,-4.006
157B025030005,2025-06-22 01:00:00,2025-06-22 07:00:00,drain,14.2,7.34,-6.859999999999999
157B025030005,2025-08-29 10:00:00,2025-08-29 14:00:00,drain,13.647,10.8,-2.8469999999999995
157B025030005,2025-09-08 22:00:00,2025-09-09 02:00:00,drain,11.0,4.131,-6.869
157B025030008,2025-06-15 05:00:00,2025-06-15 07:00:00,drain,5.173,2.062,-3.111
157B025030008,2025-06-18 14:00:00,2025-06-18 20:00:00,drain,5.244,2.406,-2.8379999999999996
157B025030008,2025-07-11 22:00:00,2025-07-12 07:00:00,drain,9.712,1.762,-7.949999999999999
157B025030008,2025-07-20 14:00:00,2025-07-20 18:00:00,drain,3.527,0.86,-2.6670000000000003
157B025030009,2025-06-22 00:00:00,2025-06-22 06:00:00,drain,11.5,5.376,-6.124
157B025030009,2025-06-28 10:00:00,2025-06-28 16:00:00,drain,12.447,6.64,-5.8069999999999995
157B025030009,2025-07-22 06:00:00,2025-07-22 08:00:00,drain,17.1,0.819,-16.281000000000002
157B025030009,2025-07-22 10:00:00,2025-07-22 14:00:00,drain,17.212,1.169,-16.043
157B025030009,2025-07-29 10:00:00,2025-07-29 23:00:00,drain,13.25,7.6,-5.65
157B025030009,2025-09-09 01:00:00,2025-09-09 10:00:00,drain,11.6,6.406,-5.194
157B025030014,2025-06-19 07:00:00,2025-06-19 14:00:00,drain,6.447,1.947,-4.5
157B025030014,2025-06-23 21:00:00,2025-06-24 04:00:00,drain,3.65,1.053,-2.597
157B025030014,2025-07-15 13:00:00,2025-07-15 17:00:00,drain,4.04,1.168,-2.872
157B025030014,2025-08-15 21:00:00,2025-08-16 01:00:00,drain,7.986,5.066,-2.92
157B025030014,2025-09-06 00:00:00,2025-09-06 04:00:00,drain,7.188,4.521,-2.667
157B025030023,2025-07-17 00:00:00,2025-07-17 04:00:00,drain,9.113,5.331,-3.781999999999999
157B025030023,2025-08-13 07:00:00,2025-08-13 13:00:00,drain,10.42,3.893,-6.527
157B025030023,2025-08-14 13:00:00,2025-08-14 21:00:00,drain,16.762,7.838,-8.924
157B025030023,2025-08-15 00:00:00,2025-08-15 05:00:00,drain,8.688,2.55,-6.138000000000001
157B025030023,2025-08-20 00:00:00,2025-08-20 03:00:00,drain,7.7,5.074,-2.6260000000000003
157B025030023,2025-09-11 17:00:00,2025-09-12 00:00:00,drain,5.293,1.775,-3.5180000000000002
157B025030023,2025-09-15 17:00:00,2025-09-15 22:00:00,drain,5.6,1.875,-3.7249999999999996
157B025030025,2025-06-19 02:00:00,2025-06-19 07:00:00,drain,6.394,2.312,-4.082000000000001
157B025030026,2025-06-16 09:00:00,2025-06-16 16:00:00,drain,5.387,0.277,-5.109999999999999
157B025030026,2025-07-08 22:00:00,2025-07-09 03:00:00,drain,6.45,0.962,-5.488
157B025030026,2025-07-09 05:00:00,2025-07-09 09:00:00,drain,3.344,0.84,-2.504
157B025030026,2025-07-29 13:00:00,2025-07-29 19:00:00,drain,4.627,0.527,-4.1
157B025030027,2025-08-09 23:00:00,2025-08-10 08:00:00,drain,13.281,2.464,-10.817
157B025030027,2025-09-03 21:00:00,2025-09-04 04:00:00,drain,9.269,1.431,-7.838
157B025030029,2025-06-16 06:00:00,2025-06-16 10:00:00,drain,4.353,1.293,-3.0599999999999996
157B025030029,2025-06-21 08:00:00,2025-06-21 11:00:00,drain,4.975,1.162,-3.8129999999999997
157B025030029,2025-07-21 07:00:00,2025-07-21 12:00:00,drain,3.947,0.194,-3.753
157B025030029,2025-09-03 21:00:00,2025-09-04 06:00:00,drain,13.447,0.8,-12.646999999999998
157B025030031,2025-07-24 05:00:00,2025-07-24 08:00:00,drain,5.007,2.006,-3.001
157B025030031,2025-07-31 07:00:00,2025-07-31 15:00:00,drain,9.311,4.832,-4.479
157B025030032,2025-06-16 14:00:00,2025-06-16 19:00:00,drain,6.3,1.106,-5.194
157B025030032,2025-07-07 12:00:00,2025-07-08 09:00:00,drain,10.76,3.96,-6.8
157B025030032,2025-07-25 23:00:00,2025-07-26 06:00:00,drain,6.753,1.462,-5.291
157B025030032,2025-08-13 07:00:00,2025-08-13 16:00:00,drain,14.463,9.807,-4.655999999999999
157B025030032,2025-08-30 22:00:00,2025-08-31 13:00:00,drain,15.112,5.204,-9.908000000000001
157B025030032,2025-09-07 10:00:00,2025-09-07 19:00:00,drain,5.542,1.465,-4.077
157B025030032,2025-09-08 13:00:00,2025-09-08 20:00:00,drain,11.838,7.52,-4.318
157B025030032,2025-09-09 03:00:00,2025-09-09 09:00:00,drain,7.136,4.388,-2.748
157B025030032,2025-09-12 08:00:00,2025-09-12 16:00:00,drain,15.538,9.231,-6.307
157B025030032,2025-09-13 04:00:00,2025-09-13 11:00:00,drain,7.173,2.4,-4.773
157B025030033,2025-06-22 23:00:00,2025-06-23 04:00:00,drain,14.12,11.513,-2.6069999999999993
157B025030033,2025-07-07 08:00:00,2025-07-07 20:00:00,drain,11.094,2.738,-8.356
157B025030033,2025-07-26 13:00:00,2025-07-26 17:00:00,drain,7.6,4.15,-3.4499999999999993
157B025030033,2025-09-07 08:00:00,2025-09-07 13:00:00,drain,8.708,4.66,-4.048
157B025030034,2025-06-26 11:00:00,2025-06-26 17:00:00,drain,6.251,2.167,-4.0840000000000005
157B025030034,2025-07-31 07:00:00,2025-07-31 12:00:00,drain,8.266,4.325,-3.941
157B025030037,2025-09-12 00:00:00,2025-09-12 03:00:00,drain,3.659,0.695,-2.964
157B025030039,2025-06-27 06:00:00,2025-06-27 10:00:00,drain,6.327,3.812,-2.515
157B025030039,2025-06-29 08:00:00,2025-06-29 12:00:00,drain,6.8,3.327,-3.473
157B025030039,2025-07-01 09:00:00,2025-07-01 15:00:00,drain,7.306,3.453,-3.853
157B025030039,2025-07-14 07:00:00,2025-07-14 11:00:00,drain,7.1,3.461,-3.639
157B025030039,2025-07-15 23:00:00,2025-07-16 01:00:00,drain,6.64,3.106,-3.534
157B025030039,2025-07-17 00:00:00,2025-07-17 05:00:00,drain,5.762,1.86,-3.9019999999999992
157B025030039,2025-07-22 03:00:00,2025-07-22 13:00:00,drain,6.207,1.925,-4.282
157B025030039,2025-07-24 23:00:00,2025-07-25 05:00:00,drain,7.293,2.127,-5.166
157B025030039,2025-08-09 22:00:00,2025-08-10 07:00:00,drain,13.333,0.875,-12.458
157B025030039,2025-08-29 09:00:00,2025-08-29 16:00:00,drain,12.7,10.12,-2.58
157B025030042,2025-06-19 02:00:00,2025-06-19 05:00:00,drain,4.025,1.127,-2.8980000000000006
157B025030042,2025-06-21 23:00:00,2025-06-22 06:00:00,drain,4.312,0.812,-3.5
157B025030042,2025-06-25 07:00:00,2025-06-25 11:00:00,drain,5.344,0.156,-5.188000000000001
157B025030042,2025-07-14 07:00:00,2025-07-14 12:00:00,drain,4.307,1.26,-3.0470000000000006
157B025030042,2025-07-29 20:00:00,2025-07-30 01:00:00,drain,7.253,1.98,-5.273
157B025030042,2025-08-15 06:00:00,2025-08-15 11:00:00,drain,3.656,1.112,-2.544
157B025030042,2025-08-25 08:00:00,2025-08-25 11:00:00,drain,7.2,3.725,-3.475
157B025030042,2025-08-29 06:00:00,2025-08-29 08:00:00,drain,6.581,3.9,-2.6810000000000005
157B025030044,2025-06-26 09:00:00,2025-06-26 13:00:00,drain,12.562,8.206,-4.356
157B025030044,2025-06-28 09:00:00,2025-06-28 15:00:00,drain,11.925,6.86,-5.065
157B025030044,2025-06-30 08:00:00,2025-06-30 14:00:00,drain,10.469,7.953,-2.515999999999999
157B025030044,2025-07-04 07:00:00,2025-07-04 11:00:00,drain,10.038,7.5,-2.5380000000000003
