code,algo_start,algo_end,manual_start,manual_end,level_start_mm,level_at_12h_mm,delta_12h_mm,duration_hours,drain_rate_mm_per_hour
157B025030091,2025-07-11 22:00:00,2025-07-12 03:00:00,2025-07-11 21:00:00,2025-07-12 09:00:00,6.8,3.694,-3.106,5.0,0.2588333333333333
157B025030091,2025-08-01 21:00:00,2025-08-02 04:00:00,2025-08-01 20:00:00,2025-08-02 07:00:00,6.943,3.801,-3.1419999999999995,7.0,0.2618333333333333
157B025030091,2025-09-05 07:00:00,2025-09-05 12:00:00,2025-09-05 05:00:00,2025-09-05 17:00:00,10.881,4.9,-5.981,5.0,0.4984166666666667
157B025030031,2025-07-24 05:00:00,2025-07-24 08:00:00,2025-07-24 03:00:00,2025-07-24 12:00:00,5.007,2.006,-3.001,3.0,0.2500833333333333
157B025030031,2025-07-31 07:00:00,2025-07-31 15:00:00,2025-07-31 06:00:00,2025-07-31 21:00:00,9.311,4.832,-4.479,8.0,0.37325
157B025030046,2025-06-19 04:00:00,2025-06-19 09:00:00,2025-06-19 04:00:00,2025-06-20 01:00:00,7.775,3.7,-4.075,5.0,0.33958333333333335
157B025030046,2025-07-11 23:00:00,2025-07-12 07:00:00,2025-07-11 22:00:00,2025-07-12 15:00:00,13.275,3.694,-9.581,8.0,0.7984166666666667
157B025030032,2025-06-16 14:00:00,2025-06-16 19:00:00,2025-06-16 14:00:00,2025-06-17 01:00:00,6.3,1.106,-5.194,5.0,0.43283333333333335
157B025030032,2025-07-07 12:00:00,2025-07-08 09:00:00,2025-07-07 10:00:00,2025-07-08 03:00:00,10.76,3.96,-6.8,21.0,0.5666666666666667
157B025030032,2025-07-25 23:00:00,2025-07-26 06:00:00,2025-07-25 23:00:00,2025-07-26 14:00:00,6.753,1.462,-5.291,7.0,0.4409166666666667
157B025030032,2025-08-13 07:00:00,2025-08-13 16:00:00,2025-08-13 05:00:00,2025-08-13 21:00:00,14.463,9.807,-4.655999999999999,9.0,0.3879999999999999
157B025030032,2025-08-30 22:00:00,2025-08-31 13:00:00,2025-08-30 19:00:00,2025-08-31 06:00:00,15.112,5.204,-9.908,15.0,0.8256666666666667
157B025030032,2025-09-07 10:00:00,2025-09-07 19:00:00,2025-09-07 08:00:00,2025-09-07 23:00:00,5.542,1.465,-4.077,9.0,0.33975
157B025030032,2025-09-08 13:00:00,2025-09-08 20:00:00,2025-09-08 13:00:00,2025-09-09 00:00:00,11.838,7.52,-4.318,7.0,0.3598333333333333
