Model,Class,Precision,Recall,F1-score,Support,Accuracy
LogisticRegression,normal,0.994661921708185,0.980701754385965,0.9876325088339223,3420,0.9759036144578314
LogisticRegression,anomaly,0.9487179487179487,0.7872340425531915,0.8604651162790697,47,0.9759036144578314
LogisticRegression,drain,0.14666666666666667,0.5789473684210527,0.23404255319148937,19,0.9759036144578314
RandomForest,normal,0.9962110171961527,0.9994152046783625,0.9978105386075026,3420,0.995697074010327
RandomForest,anomaly,1.0,0.9787234042553191,0.989247311827957,47,0.995697074010327
RandomForest,drain,0.7777777777777778,0.3684210526315789,0.5,19,0.995697074010327
GradientBoosting,normal,0.9962065946892326,0.9982456140350877,0.9972250620709799,3420,0.9945496270797476
GradientBoosting,anomaly,1.0,1.0,1.0,47,0.9945496270797476
GradientBoosting,drain,0.5,0.3157894736842105,0.3870967741935484,19,0.9945496270797476
ExtraTrees,normal,0.9930273097036607,0.9994152046783625,0.9962110171961527,3420,0.9925415949512335
ExtraTrees,anomaly,1.0,0.851063829787234,0.9195402298850575,47,0.9925415949512335
ExtraTrees,drain,0.5,0.10526315789473684,0.17391304347826086,19,0.9925415949512335
AdaBoost,normal,0.9959088252483927,0.9964912280701754,0.9961999415375621,3420,0.9925415949512335
AdaBoost,anomaly,1.0,1.0,1.0,47,0.9925415949512335
AdaBoost,drain,0.29411764705882354,0.2631578947368421,0.2777777777777778,19,0.9925415949512335
KNeighbors,normal,0.9927325581395349,0.9985380116959064,0.9956268221574344,3420,0.9913941480206541
KNeighbors,anomaly,0.9722222222222222,0.7446808510638298,0.8433734939759037,47,0.9913941480206541
KNeighbors,drain,0.6,0.3157894736842105,0.41379310344827586,19,0.9913941480206541
SVC,normal,0.9909303686366296,0.9903508771929824,0.9906405381690553,3420,0.9816408491107286
SVC,anomaly,1.0,0.5319148936170213,0.6944444444444444,47,0.9816408491107286
SVC,drain,0.23255813953488372,0.5263157894736842,0.3225806451612903,19,0.9816408491107286
MLP,normal,0.9953407105416424,0.9994152046783625,0.9973737963233148,3420,0.9948364888123924
MLP,anomaly,1.0,0.9574468085106383,0.9782608695652174,47,0.9948364888123924
MLP,drain,0.7142857142857143,0.2631578947368421,0.38461538461538464,19,0.9948364888123924
