param_n_estimators,param_max_depth,param_min_samples_leaf,param_max_features,mean_test_score,std_test_score
100,5,1,sqrt,0.9766854577141686,0.0058478607535214265
200,5,1,sqrt,0.9756429843220701,0.006517149744633883
300,5,1,sqrt,0.9762251847167394,0.006194840432227252
100,5,3,sqrt,0.9750491701210289,0.006754716306236212
200,5,3,sqrt,0.9752334347130421,0.006782151391486096
300,5,3,sqrt,0.9756868099679139,0.006683831122725334
100,5,5,sqrt,0.9741584407734706,0.006630363814028552
200,5,5,sqrt,0.9747409166546342,0.005962367925572795
300,5,5,sqrt,0.9754367501993041,0.005769585092996693
100,5,1,log2,0.9766854577141686,0.0058478607535214265
200,5,1,log2,0.9756429843220701,0.006517149744633883
300,5,1,log2,0.9762251847167394,0.006194840432227252
100,5,3,log2,0.9750491701210289,0.006754716306236212
200,5,3,log2,0.9752334347130421,0.006782151391486096
300,5,3,log2,0.9756868099679139,0.006683831122725334
100,5,5,log2,0.9741584407734706,0.006630363814028552
200,5,5,log2,0.9747409166546342,0.005962367925572795
300,5,5,log2,0.9754367501993041,0.005769585092996693
100,5,1,,0.9814197005268988,0.0075507636417339015
200,5,1,,0.9812417564974714,0.007938069984111017
300,5,1,,0.9812542333983443,0.007868878361636278
100,5,3,,0.9813363648353546,0.008057913529276452
200,5,3,,0.9812443730539935,0.008187235383335037
300,5,3,,0.9813140891356863,0.008152831709587288
100,5,5,,0.980936159262906,0.0071807548678341415
200,5,5,,0.9810663878341117,0.007609119146730857
300,5,5,,0.9809345897874989,0.007581958938989743
100,10,1,sqrt,0.981806527902077,0.006616902158625518
200,10,1,sqrt,0.9819307609847922,0.0066789131874441495
300,10,1,sqrt,0.9816860328690048,0.006682829989044408
100,10,3,sqrt,0.982559918518257,0.006161363726601733
200,10,3,sqrt,0.98243912382465,0.005640972556155656
300,10,3,sqrt,0.9828037090295849,0.005456709304284632
100,10,5,sqrt,0.9829416668519249,0.005405720976825738
200,10,5,sqrt,0.9822894083270075,0.005169739381210393
300,10,5,sqrt,0.9821959138305445,0.005014529123652242
100,10,1,log2,0.981806527902077,0.006616902158625518
200,10,1,log2,0.9819307609847922,0.0066789131874441495
300,10,1,log2,0.9816860328690048,0.006682829989044408
100,10,3,log2,0.982559918518257,0.006161363726601733
200,10,3,log2,0.98243912382465,0.005640972556155656
300,10,3,log2,0.9828037090295849,0.005456709304284632
100,10,5,log2,0.9829416668519249,0.005405720976825738
200,10,5,log2,0.9822894083270075,0.005169739381210393
300,10,5,log2,0.9821959138305445,0.005014529123652242
100,10,1,,0.9837661289574123,0.0065893366941066935
200,10,1,,0.9832292044351728,0.0063700978760040895
300,10,1,,0.9836133272697198,0.006692577922884444
100,10,3,,0.9830792226285329,0.006468299577354675
200,10,3,,0.9831090191245032,0.006423069750522985
300,10,3,,0.9830389677784017,0.006531113683084898
100,10,5,,0.9821614726708019,0.005614005912017725
200,10,5,,0.9824610640767772,0.005941307684723088
300,10,5,,0.9825967486977781,0.005783177498466237
100,20,1,sqrt,0.9832205978617514,0.0077168385704873355
200,20,1,sqrt,0.98302051610213,0.00779541755050263
300,20,1,sqrt,0.9826474392952933,0.007732964436617842
100,20,3,sqrt,0.9839046276205174,0.006362619285056493
200,20,3,sqrt,0.9836757537292286,0.006354639343944508
300,20,3,sqrt,0.9839393541621284,0.006307038072474932
100,20,5,sqrt,0.9834644509461725,0.005455054888464409
200,20,5,sqrt,0.9832109548466178,0.004887835180810827
300,20,5,sqrt,0.9833388201130356,0.00491407359314113
100,20,1,log2,0.9832205978617514,0.0077168385704873355
200,20,1,log2,0.98302051610213,0.00779541755050263
300,20,1,log2,0.9826474392952933,0.007732964436617842
100,20,3,log2,0.9839046276205174,0.006362619285056493
200,20,3,log2,0.9836757537292286,0.006354639343944508
300,20,3,log2,0.9839393541621284,0.006307038072474932
100,20,5,log2,0.9834644509461725,0.005455054888464409
200,20,5,log2,0.9832109548466178,0.004887835180810827
300,20,5,log2,0.9833388201130356,0.00491407359314113
100,20,1,,0.9854645022821549,0.00686262110744627
200,20,1,,0.9851651251112145,0.0065782282626609834
300,20,1,,0.9851584726391855,0.006846054711056907
100,20,3,,0.984517473993834,0.006328586405818264
200,20,3,,0.9848632711558679,0.0063856131855861455
300,20,3,,0.9848196051914258,0.006334556579225778
100,20,5,,0.9832074044125028,0.005149006677733335
200,20,5,,0.9833737823471758,0.005417990919907066
300,20,5,,0.9839281647877808,0.005307610391853186
100,,1,sqrt,0.9832205978617514,0.0077168385704873355
200,,1,sqrt,0.98302051610213,0.00779541755050263
300,,1,sqrt,0.9827496872843291,0.007830806946195468
100,,3,sqrt,0.9839046276205174,0.006362619285056493
200,,3,sqrt,0.9836757537292286,0.006354639343944508
300,,3,sqrt,0.9839393541621284,0.006307038072474932
100,,5,sqrt,0.9835139769064236,0.005451032407475027
200,,5,sqrt,0.9832109548466178,0.004887835180810827
300,,5,sqrt,0.9833388201130356,0.00491407359314113
100,,1,log2,0.9832205978617514,0.0077168385704873355
200,,1,log2,0.98302051610213,0.00779541755050263
300,,1,log2,0.9827496872843291,0.007830806946195468
100,,3,log2,0.9839046276205174,0.006362619285056493
200,,3,log2,0.9836757537292286,0.006354639343944508
300,,3,log2,0.9839393541621284,0.006307038072474932
100,,5,log2,0.9835139769064236,0.005451032407475027
