threshold,precision,recall,f1
0.0,0.005450372920252439,1.0,0.010841654778887305
0.01,0.12857142857142856,0.47368421052631576,0.20224719101123595
0.02,0.24324324324324326,0.47368421052631576,0.32142857142857145
0.03,0.3,0.47368421052631576,0.3673469387755102
0.04,0.3333333333333333,0.42105263157894735,0.37209302325581395
0.05,0.38095238095238093,0.42105263157894735,0.4
0.06,0.4117647058823529,0.3684210526315789,0.3888888888888889
0.07,0.4666666666666667,0.3684210526315789,0.4117647058823529
0.08,0.4666666666666667,0.3684210526315789,0.4117647058823529
0.09,0.4666666666666667,0.3684210526315789,0.4117647058823529
0.1,0.4666666666666667,0.3684210526315789,0.4117647058823529
0.11,0.5,0.3684210526315789,0.42424242424242425
0.12,0.5,0.3684210526315789,0.42424242424242425
0.13,0.5384615384615384,0.3684210526315789,0.4375
0.14,0.6363636363636364,0.3684210526315789,0.4666666666666667
0.15,0.7,0.3684210526315789,0.4827586206896552
0.16,0.7,0.3684210526315789,0.4827586206896552
0.17,0.7,0.3684210526315789,0.4827586206896552
0.18,0.7,0.3684210526315789,0.4827586206896552
0.19,0.7,0.3684210526315789,0.4827586206896552
0.2,0.7,0.3684210526315789,0.4827586206896552
0.21,0.7,0.3684210526315789,0.4827586206896552
0.22,0.7,0.3684210526315789,0.4827586206896552
0.23,0.7,0.3684210526315789,0.4827586206896552
0.24,0.7,0.3684210526315789,0.4827586206896552
0.25,0.7,0.3684210526315789,0.4827586206896552
0.26,0.7,0.3684210526315789,0.4827586206896552
0.27,0.7,0.3684210526315789,0.4827586206896552
0.28,0.7,0.3684210526315789,0.4827586206896552
0.29,0.7,0.3684210526315789,0.4827586206896552
0.3,0.7777777777777778,0.3684210526315789,0.5
0.31,0.7777777777777778,0.3684210526315789,0.5
0.32,0.7777777777777778,0.3684210526315789,0.5
0.33,0.7777777777777778,0.3684210526315789,0.5
0.34,0.7777777777777778,0.3684210526315789,0.5
0.35000000000000003,0.7777777777777778,0.3684210526315789,0.5
0.36,0.7777777777777778,0.3684210526315789,0.5
0.37,0.7777777777777778,0.3684210526315789,0.5
0.38,0.875,0.3684210526315789,0.5185185185185185
0.39,0.875,0.3684210526315789,0.5185185185185185
0.4,0.875,0.3684210526315789,0.5185185185185185
0.41000000000000003,0.875,0.3684210526315789,0.5185185185185185
0.42,0.875,0.3684210526315789,0.5185185185185185
0.43,1.0,0.3684210526315789,0.5384615384615384
0.44,1.0,0.3684210526315789,0.5384615384615384
0.45,1.0,0.3684210526315789,0.5384615384615384
0.46,1.0,0.3684210526315789,0.5384615384615384
0.47000000000000003,1.0,0.3684210526315789,0.5384615384615384
0.48,1.0,0.3684210526315789,0.5384615384615384
0.49,1.0,0.3684210526315789,0.5384615384615384
0.5,1.0,0.3684210526315789,0.5384615384615384
0.51,1.0,0.3684210526315789,0.5384615384615384
0.52,1.0,0.3684210526315789,0.5384615384615384
0.53,1.0,0.3684210526315789,0.5384615384615384
0.54,1.0,0.3684210526315789,0.5384615384615384
0.55,1.0,0.3684210526315789,0.5384615384615384
0.56,1.0,0.3684210526315789,0.5384615384615384
0.5700000000000001,1.0,0.3684210526315789,0.5384615384615384
0.58,1.0,0.3157894736842105,0.48
0.59,1.0,0.3157894736842105,0.48
0.6,1.0,0.3157894736842105,0.48
0.61,1.0,0.3157894736842105,0.48
0.62,1.0,0.3157894736842105,0.48
0.63,1.0,0.3157894736842105,0.48
0.64,1.0,0.3157894736842105,0.48
0.65,1.0,0.3157894736842105,0.48
0.66,1.0,0.3157894736842105,0.48
0.67,1.0,0.3157894736842105,0.48
0.68,1.0,0.3157894736842105,0.48
0.6900000000000001,1.0,0.3157894736842105,0.48
0.7000000000000001,1.0,0.3157894736842105,0.48
0.71,1.0,0.3157894736842105,0.48
0.72,1.0,0.3157894736842105,0.48
0.73,1.0,0.3157894736842105,0.48
0.74,1.0,0.3157894736842105,0.48
0.75,1.0,0.3157894736842105,0.48
0.76,1.0,0.3157894736842105,0.48
0.77,1.0,0.3157894736842105,0.48
0.78,1.0,0.3157894736842105,0.48
0.79,1.0,0.3157894736842105,0.48
0.8,1.0,0.3157894736842105,0.48
0.81,1.0,0.3157894736842105,0.48
0.8200000000000001,1.0,0.3157894736842105,0.48
0.8300000000000001,1.0,0.3157894736842105,0.48
0.84,1.0,0.3157894736842105,0.48
0.85,1.0,0.2631578947368421,0.4166666666666667
0.86,1.0,0.2631578947368421,0.4166666666666667
0.87,1.0,0.2631578947368421,0.4166666666666667
0.88,1.0,0.21052631578947367,0.34782608695652173
0.89,1.0,0.21052631578947367,0.34782608695652173
0.9,1.0,0.21052631578947367,0.34782608695652173
0.91,1.0,0.21052631578947367,0.34782608695652173
0.92,1.0,0.10526315789473684,0.19047619047619047
0.93,0.0,0.0,0.0
0.9400000000000001,0.0,0.0,0.0
0.9500000000000001,0.0,0.0,0.0
0.96,0.0,0.0,0.0
0.97,0.0,0.0,0.0
0.98,0.0,0.0,0.0
0.99,0.0,0.0,0.0
1.0,0.0,0.0,0.0
